Uid,Sid,Time,avg_hr,avg_spo2,bedtime,breath_quality,sleep_deep_duration,device_bedtime,device_wake_up_time,sleep_light_duration,max_hr,max_spo2,min_hr,min_spo2,protoTime,sleep_rem_duration,duration,sleepdata_id,timezone,version,awake_count,sleep_awake_duration,wake_up_time,raw_sleep_score,sleep_quality,sleep_score,date,took_nap
8279399076,765279083,2025-03-21 06:10:00,57.0,96.0,2025-03-21 03:04:00,95.0,55.0,2025-03-21 03:04:00,2025-03-21 06:10:00,96.0,72.0,98.0,46.0,94.0,1742537400.0,35.0,186.0,0.0,4.0,2.0,0.0,0.0,2025-03-21 06:10:00,131.0,Bad,131.0,2025-03-21,False
8279399076,765279083,2025-03-20 08:10:00,61.0,97.0,2025-03-20 00:01:00,94.0,91.0,2025-03-20 00:01:00,2025-03-20 08:10:00,295.0,103.0,99.0,48.0,94.0,1742458200.0,62.0,448.0,1.0,4.0,2.0,4.0,41.0,2025-03-20 08:10:00,279.9,Average,279.9,2025-03-20,False
8279399076,765279083,2025-03-19 08:03:00,57.0,96.0,2025-03-19 01:46:00,94.0,126.0,2025-03-19 01:46:00,2025-03-19 08:03:00,124.0,94.0,98.0,42.0,94.0,1742371380.0,92.0,342.0,2.0,4.0,2.0,1.0,35.0,2025-03-19 08:03:00,254.6,Bad,254.6,2025-03-19,False
8279399076,765279083,2025-03-18 10:50:00,53.0,97.0,2025-03-18 00:51:00,0.0,167.0,2025-03-18 00:51:00,2025-03-18 10:50:00,319.0,82.0,99.0,41.0,94.0,1742295000.0,113.0,599.0,3.0,4.0,2.0,0.0,0.0,2025-03-18 10:50:00,416.9,Good,416.9,2025-03-18,False
8279399076,765279083,2025-03-16 08:32:00,54.0,97.0,2025-03-15 23:59:00,96.0,146.0,2025-03-15 23:59:00,2025-03-16 08:32:00,268.0,108.0,99.0,42.0,94.0,1742113920.0,72.0,486.0,4.0,4.0,2.0,1.0,27.0,2025-03-16 08:32:00,332.2,Good,332.2,2025-03-15,False
8279399076,765279083,2025-03-15 11:40:00,69.0,98.0,2025-03-15 07:17:00,99.0,68.0,2025-03-15 07:17:00,2025-03-15 11:40:00,160.0,100.0,99.0,60.0,97.0,1742038800.0,34.0,262.0,5.0,4.0,2.0,1.0,1.0,2025-03-15 11:40:00,175.0,Bad,175.0,2025-03-15,False
8279399076,765279083,2025-03-14 13:23:00,0.0,0.0,2025-03-14 11:24:00,0.0,0.0,2025-03-14 11:24:00,2025-03-14 13:23:00,0.0,0.0,0.0,0.0,0.0,1741958580.0,0.0,119.0,0.0,4.0,2.0,0.0,0.0,2025-03-14 13:23:00,59.5,Bad,59.5,2025-03-14,True
8279399076,765279083,2025-03-14 08:18:00,54.0,98.0,2025-03-13 23:55:00,98.0,160.0,2025-03-13 23:55:00,2025-03-14 08:18:00,275.0,82.0,99.0,43.0,94.0,1741940280.0,65.0,500.0,6.0,4.0,2.0,3.0,3.0,2025-03-14 08:18:00,348.9,Good,348.9,2025-03-13,False
8279399076,765279083,2025-03-13 08:11:00,58.0,96.0,2025-03-13 01:07:00,96.0,126.0,2025-03-13 01:07:00,2025-03-13 08:11:00,228.0,89.0,99.0,49.0,87.0,1741853460.0,66.0,420.0,7.0,4.0,2.0,1.0,4.0,2025-03-13 08:11:00,292.0,Average,292.0,2025-03-13,False
8279399076,765279083,2025-03-12 11:05:00,55.0,97.0,2025-03-12 00:54:00,95.0,215.0,2025-03-12 00:54:00,2025-03-12 11:05:00,274.0,91.0,98.0,45.0,94.0,1741777500.0,74.0,563.0,8.0,4.0,2.0,3.0,48.0,2025-03-12 11:05:00,401.6,Good,401.6,2025-03-12,False
